Name	Length	Identity	Relative length
1	10000	99.7802636835797	99.92006394884093
10	10000	99.92003198720512	99.9900009999
100	10000	99.91004497751125	99.96001599360255
101	10000	99.90006995103428	99.94003597841295
102	10000	99.86013986013987	99.94003597841295
103	10000	99.93004197481511	99.94003597841295
104	10000	99.9000599640216	99.97000899730081
105	10000	99.9000399840064	99.97000899730081
106	10000	99.86013986013987	99.92006394884093
107	10000	99.89008792965627	99.94003597841295
108	10000	99.86012588670197	99.95002498750625
109	10000	99.80023971234519	99.91008092716555
11	10000	99.99	100.0
110	10000	99.87006496751624	100.0
111	10000	99.92003998000999	99.96001599360255
112	10000	99.9000399840064	99.98000399920016
113	10000	99.87012987012987	99.92006394884093
114	10000	99.81024667931689	99.88014382740711
115	10000	99.86011191047162	99.95002498750625
116	10000	99.930048965724	99.930048965724
117	10000	99.880059970015	99.9900009999
118	10000	99.930048965724	99.930048965724
119	10000	99.9500099980004	100.0100010001
12	10000	99.91005396761943	99.95002498750625
120	10000	99.83016983016984	99.930048965724
121	10000	99.86013986013987	99.91008092716555
122	10000	99.9400299850075	99.96001599360255
123	10000	99.930048965724	99.930048965724
124	10000	99.86008394963022	99.97000899730081
125	10000	99.9000599640216	99.96001599360255
126	10000	99.85013487860925	99.94003597841295
127	10000	99.85008994603238	99.95002498750625
128	10000	99.91005396761943	99.96001599360255
129	10000	99.94001199760048	100.0100010001
13	10000	99.86012588670197	99.94003597841295
130	10000	99.9000599640216	99.96001599360255
131	10000	99.82021574111067	99.91008092716555
132	10000	99.86011191047162	99.930048965724
133	10000	99.96	100.0100010001
134	10000	99.93003498250874	99.97000899730081
135	10000	99.87010391686651	99.95002498750625
136	10000	99.80023971234519	99.92006394884093
137	10000	99.91006295593085	99.930048965724
138	10000	99.91004497751125	99.97000899730081
139	10000	99.89009891098011	99.92006394884093
14	10000	99.89008792965627	99.95002498750625
140	10000	99.94002399040384	99.97000899730081
141	10000	99.90007993605116	99.92006394884093
142	10000	99.93001399720056	100.0100010001
143	10000	99.83006797281088	100.0
144	10000	99.92003998000999	99.95002498750625
145	10000	99.92002399280216	100.0
146	10000	99.94000599940006	100.02000400080016
147	10000	99.89008792965627	99.94003597841295
148	10000	99.86009793144798	99.96001599360255
149	10000	99.89008792965627	99.94003597841295
15	10000	99.8800959232614	99.95002498750625
150	10000	99.95	100.0100010001
151	10000	99.830220713073	99.89012086704625
152	10000	99.91007194244604	99.92006394884093
153	10000	99.82023369619495	99.89012086704625
154	10000	99.92003198720512	99.97000899730081
155	10000	99.87009093634455	99.96001599360255
156	10000	99.89005497251374	99.95002498750625
157	10000	99.94000599940006	100.0100010001
158	10000	99.92003198720512	100.0
159	10000	99.83018679452603	99.89012086704625
16	10000	99.84022368683843	99.87016878058525
160	10000	99.82021574111067	99.9000999000999
161	10000	99.91005396761943	99.96001599360255
162	10000	99.92001599680064	100.0100010001
163	10000	99.9000599640216	99.96001599360255
164	10000	99.87010391686651	99.94003597841295
165	10000	99.93002099370189	99.9900009999
166	10000	99.87010391686651	99.94003597841295
167	10000	99.84015984015984	99.91008092716555
168	10000	99.89005497251374	99.97000899730081
169	10000	99.880059970015	99.97000899730081
17	10000	99.84011192165484	99.9900009999
170	10000	99.8800959232614	99.930048965724
171	10000	99.87010391686651	99.96001599360255
172	10000	99.93002099370189	99.98000399920016
173	10000	99.86011191047162	99.94003597841295
174	10000	99.92003198720512	99.97000899730081
175	10000	99.9900009999	99.9900009999
176	10000	99.84014387051654	99.94003597841295
177	10000	99.89006596042374	99.97000899730081
178	10000	99.9000599640216	99.96001599360255
179	10000	99.74028568574568	99.96001599360255
18	10000	99.9000299910027	100.0
180	10000	99.8800719568259	99.96001599360255
181	10000	99.87014284287284	99.89012086704625
182	10000	99.93003498250874	99.96001599360255
183	10000	99.95001999200319	99.96001599360255
184	10000	99.92002399280216	100.0100010001
185	10000	99.9000499750125	99.98000399920016
186	10000	99.91006295593085	99.95002498750625
187	10000	99.93003498250874	99.96001599360255
188	10000	99.92003198720512	99.98000399920016
189	10000	99.87010391686651	99.96001599360255
19	10000	99.87009093634455	99.97000899730081
190	10000	99.91006295593085	99.94003597841295
191	10000	99.930048965724	99.930048965724
192	10000	99.74033756117048	99.930048965724
193	10000	99.82017982017982	99.94003597841295
194	10000	99.85010492655141	99.95002498750625
195	10000	99.91006295593085	99.95002498750625
196	10000	99.880059970015	99.96001599360255
197	10000	99.91003598560576	100.0100010001
198	10000	99.89005497251374	99.98000399920016
199	10000	99.87009093634455	99.98000399920016
2	10000	99.85013487860925	99.930048965724
20	10000	99.88008394124112	99.96001599360255
200	10000	99.91002699190243	99.9900009999
201	10000	99.94001199760048	100.0
202	10000	99.89004398240704	100.0
203	10000	99.7802636835797	99.9000999000999
204	10000	99.90008991907284	99.92006394884093
205	10000	99.8900769461377	99.95002498750625
206	10000	99.86005597760895	99.98000399920016
207	10000	99.92003998000999	99.96001599360255
208	10000	99.97000599880025	99.9900009999
209	10000	99.92004797121727	99.94003597841295
21	10000	99.9000299910027	100.0
210	10000	99.93003498250874	99.96001599360255
211	10000	99.89004398240704	99.98000399920016
212	10000	99.87010391686651	99.95002498750625
213	10000	99.91004497751125	99.97000899730081
214	10000	99.84012789768185	99.97000899730081
215	10000	99.79029358897543	99.9000999000999
216	10000	99.95001499550135	99.9900009999
217	10000	99.94002399040384	99.96001599360255
218	10000	99.87006496751624	99.96001599360255
219	10000	99.89006596042374	99.94003597841295
