Name	Length	Identity	Relative length
253	10000	98.95605488168621	99.66115208291808
215	10000	98.9459029435163	99.71083856815235
157	10000	99.19378919080323	99.70089730807577
79	10000	99.16442852879737	99.62143853357243
52	10000	99.0657920890479	99.5123892924669
205	10000	98.76041253470845	99.38382031405287
236	10000	98.98668786012318	99.5123892924669
249	10000	99.07545481658217	99.55201592832255
26	10000	98.86601014622501	99.70086748429554
196	10000	98.79960317460318	99.45300845350572
464	10000	98.96651098082083	99.54210631096954
282	10000	98.60035735556879	99.60159362549801
45	10000	98.86668654935879	99.74067424695791
197	10000	99.19370893888114	99.71083856815235
541	10000	99.05491444488659	99.71083856815235
158	10000	98.93764892772042	99.45300845350572
313	10000	98.97776895593489	99.32459276916964
268	10000	98.9080802064721	99.38382031405287
56	10000	99.1043884963678	99.74067424695791
128	10000	99.01658885467369	99.53219866626854
114	10000	99.16451163715934	99.62143853357243
465	10000	98.98638576965119	99.56192751891676
12	10000	99.11451596856034	99.7207818109294
391	10000	98.83697813121272	99.74067424695791
239	10000	98.68042464530211	99.5123892924669
429	10000	99.0456307784074	99.5123892924669
538	10000	98.84714768435698	99.71083856815235
500	10000	98.95781637717121	99.36406995230524
187	10000	98.78908188585608	99.56192751891676
147	10000	98.79829178667197	99.56192751891676
449	10000	98.9668189946354	99.48269001193792
416	10000	98.95729890764648	99.44311853619729
264	10000	99.15481754002188	99.48269001193792
104	10000	99.07407407407408	99.92005596082743
474	10000	99.09515760167048	99.60159362549801
502	10000	98.87907945640313	99.31472837421789
221	10000	98.79697753032411	99.85022466300549
484	10000	99.2636815920398	99.58175662218682
431	10000	98.94726387923329	99.46290033817387
252	10000	98.55416914240443	99.1768322919766
240	10000	98.91520700636943	99.95002498750625
180	10000	99.05566600397614	99.57184108334162
488	10000	99.21369563053648	99.75062344139651
219	10000	98.79733624888182	99.6710854181202
198	10000	99.09533750869868	99.57184108334162
395	10000	98.80928755705497	99.44311853619729
136	10000	98.79829178667197	99.60159362549801
337	10000	98.87718600953895	99.56192751891676
126	10000	98.99662229286707	99.48253557567917
486	10000	98.70929308975377	99.69095803010667
368	10000	99.10545671404432	99.5123892924669
478	10000	99.12620395194122	99.39369843951893
386	10000	99.17429367290092	99.6710854181202
13	10000	99.07517899761336	99.61151509114454
193	10000	98.99622341482807	99.56192751891676
430	10000	98.97624490607295	99.61151509114454
34	10000	99.03520986671971	99.63136395337253
210	10000	99.0657920890479	99.52229299363057
387	10000	98.88767504220876	99.54210631096954
232	10000	98.81803734604688	99.48269001193792
336	10000	98.85856079404466	99.39369843951893
377	10000	99.01717462523578	99.4233446013124
116	10000	98.9767534273793	99.50248756218906
450	10000	99.15548931942375	99.39369843951893
537	10000	98.90677797654541	99.61139896373057
279	10000	98.7780647725015	99.68102073365232
495	10000	98.69884783472388	99.5123892924669
165	10000	99.1943505072608	99.57184108334162
520	10000	99.09434713375796	99.78048293753741
367	10000	98.82727092029418	99.66094934184284
432	10000	99.13553259141494	99.47279419078882
89	10000	98.80822325950939	99.58175662218682
522	10000	99.12524850894633	99.58175662218682
202	10000	99.08575971380304	99.54210631096954
306	10000	98.86859865025804	99.43323058566173
376	10000	99.0558537070165	99.55201592832255
115	10000	99.1835109031166	99.74067424695791
8	10000	98.9065606361829	99.58175662218682
400	10000	99.05425584868094	99.89012086704625
18	10000	99.0144350423096	99.89012086704625
539	10000	98.83605252686033	99.96001599360255
384	10000	98.83813306852036	99.59167413604223
460	10000	99.11469213170199	99.65122072745392
372	10000	98.90818858560795	99.38382031405287
463	10000	99.01570888844701	99.6710854181202
224	10000	98.79996032926708	99.38382031405287
418	10000	98.84726224783861	99.63136395337253
290	10000	98.77093864605015	99.28514694201748
515	10000	98.99652260307998	99.50248756218906
380	10000	99.16451163715934	99.58175662218682
438	10000	98.79040253817172	99.36406995230524
109	10000	98.8978254393804	99.46290033817387
366	10000	99.13484486873509	99.55201592832255
480	10000	99.05529037390613	99.65122072745392
101	10000	98.93680445151034	99.58175662218682
274	10000	98.60931757226582	99.89012086704625
490	10000	99.18407960199005	99.6710854181202
164	10000	99.0067540723083	99.52229299363057
320	10000	98.87907945640313	99.35419771485346
328	10000	98.83755588673621	99.58175662218682
343	10000	98.91736193881606	99.54210631096954
222	10000	98.70026788371862	99.55201592832255
149	10000	98.8955223880597	99.91008092716555
360	10000	98.83663120214776	99.92006394884093
317	10000	99.05660377358491	99.41346058256288
47	10000	98.86691183778949	99.65122072745392
186	10000	98.68904558546032	99.66115208291808
130	10000	99.11565977742448	99.44311853619729
410	10000	99.01482734600458	99.7307270370001
20	10000	98.90688661432972	99.6412913511359
466	10000	98.8769628304512	99.6412913511359
473	10000	99.11504424778761	99.57184108334162
503	10000	98.87729756582216	99.62143853357243
451	10000	98.87774356937133	99.57184108334162
448	10000	98.93849206349206	99.33445912387008
207	10000	99.00616179685947	99.56192751891676
542	10000	98.976651763537	99.57184108334162
29	10000	98.85697246794554	99.6710854181202
446	10000	98.83894016076214	99.47279419078882
295	10000	98.79960317460318	99.34432743890324
19	10000	99.01561101720195	99.60159362549801
90	10000	98.91445075191714	99.96001599360255
152	10000	98.84680385724226	99.76057462090982
125	10000	98.87874578289343	99.40357852882704
310	10000	98.6418161990681	99.40357852882704
9	10000	98.92713146415247	99.57184108334162
223	10000	98.75992063492063	99.40357852882704
523	10000	99.01600238544876	99.62143853357243
300	10000	98.9579198094482	99.39369843951893
453	10000	98.95646988670245	99.65122072745392
383	10000	98.97705829774556	99.48269001193792
226	10000	99.00576655398687	99.61151509114454
265	10000	98.72074573581912	99.4233446013124
258	10000	99.23352578140553	99.66115208291808
428	10000	98.93722685736988	99.56192751891676
294	10000	98.61193733888558	99.38382031405287
51	10000	98.92697466467958	99.61151509114454
501	10000	99.12490055688146	99.60159362549801
175	10000	98.97624490607295	99.63136395337253
87	10000	98.87796643828815	99.53219866626854
225	10000	98.89760651504618	99.52229299363057
516	10000	98.94726387923329	99.4233446013124
354	10000	98.71769383697813	99.78048293753741
69	10000	99.21439936356404	99.57184108334162
82	10000	99.1835109031166	99.83028850953379
433	10000	99.0861229760604	99.40357852882704
203	10000	98.78956245659292	99.31452414067157
375	10000	99.0750870213824	99.6710854181202
461	10000	99.16542473919523	99.41346058256288
404	10000	99.03626428216592	99.49258780220873
231	10000	98.64141213804047	99.39345729342746
32	10000	99.22388059701493	99.66115208291808
25	10000	98.88734353268428	99.5717984465246
2	10000	98.95626242544732	99.62143853357243
477	10000	99.03520986671971	99.74067424695791
441	10000	98.98739203812171	99.36406995230524
74	10000	99.09470752089136	99.76057462090982
374	10000	99.15448124937829	99.61151509114454
230	10000	99.20374241066985	99.65122072745392
505	10000	99.23352578140553	99.77052778609199
346	10000	99.14495923642872	99.52229299363057
22	10000	98.85651784826489	99.76057462090982
64	10000	98.96661367249602	99.61151509114454
445	10000	98.69975186104219	99.60159362549801
169	10000	98.82738745900825	99.6710854181202
452	10000	98.96743447180302	99.45300845350572
548	10000	98.96657453314738	99.58175662218682
85	10000	98.70942122505708	99.63136395337253
373	10000	98.9668189946354	99.52229299363057
106	10000	98.98698977058298	99.49258780220873
67	10000	98.9760413559996	99.7307270370001
506	10000	99.07545481658217	99.56192751891676
206	10000	98.47479449341388	99.4233446013124
107	10000	99.23405948473092	99.55201592832255
259	10000	98.97420575639876	99.9000999000999
86	10000	98.7684973681597	99.7307270370001
455	10000	99.02477858493383	99.81036031540074
330	10000	98.84760580170872	99.63136395337253
408	10000	99.02690894647999	99.4233446013124
174	10000	99.00695134061569	99.45300845350572
76	10000	98.82994546355974	99.37394415184339
405	10000	98.90764647467726	99.53219866626854
546	10000	98.72011112213514	99.52229299363057
146	10000	98.79888822711932	99.41334393954459
16	10000	98.97624490607295	99.63136395337253
512	10000	99.08594138102335	99.48269001193792
437	10000	99.01580674023263	99.58175662218682
154	10000	98.9871909442955	99.41346058256288
281	10000	99.1852146263911	99.47279419078882
326	10000	98.94653150467104	99.6710854181202
59	10000	99.16500994035785	99.54210631096954
443	10000	99.17511429139336	99.48269001193792
1	10000	99.2139303482587	99.66115208291808
119	10000	99.0342493030665	99.92006394884093
525	10000	99.13544668587896	99.46290033817387
324	10000	99.10501193317423	99.63136395337253
70	10000	99.21400855636256	99.62143853357243
241	10000	98.96465903434544	99.95002498750625
167	10000	99.06430420067689	99.76057462090982
291	10000	98.88921947832986	99.32459276916964
163	10000	98.63122396349931	99.52229299363057
162	10000	98.99662229286707	99.54210631096954
358	10000	99.0067540723083	99.48269001193792
178	10000	98.86724960254372	99.5123892924669
459	10000	99.26375485026365	99.57184108334162
148	10000	98.75173370319001	99.19650828290844
292	10000	99.13527482357618	99.50248756218906
131	10000	98.77166914314017	99.13733267228557
307	10000	98.80940569500943	99.39351759793199
159	10000	98.78109206223367	99.24573243350535
92	10000	99.0067540723083	99.47279419078882
276	10000	98.90612569610182	99.70089730807577
7	10000	98.88679057747738	99.66115208291808
75	10000	99.18367346938776	99.82032341784787
141	10000	99.20390088566026	99.68102073365232
356	10000	98.82785338233833	99.6412913511359
483	10000	99.17396496815287	99.6412913511359
362	10000	99.03415314149159	100.02000400080016
529	10000	98.80007933359778	99.34432743890324
417	10000	99.05566600397614	99.54210631096954
422	10000	98.88723298559364	99.61151509114454
72	10000	99.10340705319784	100.05002501250625
103	10000	98.96712682490814	99.50248756218906
285	10000	98.91811414392059	99.39369843951893
381	10000	99.00586539417436	99.56192751891676
321	10000	98.69203329369797	99.25558312655087
88	10000	99.0252635766859	99.71083856815235
218	10000	98.84783472387763	99.62143853357243
170	10000	99.05547822628753	99.66115208291808
181	10000	98.8983723699881	99.41346058256288
397	10000	99.23276205659626	99.87016878058525
504	10000	99.09479757286383	99.76057462090982
299	10000	98.83778682825071	99.53215210033844
425	10000	98.88778550148957	99.55201592832255
272	10000	98.88811674774149	99.43323058566173
333	10000	98.69781312127236	99.930048965724
475	10000	99.06458354065082	99.75062344139651
160	10000	99.05594753055749	99.47279419078882
471	10000	98.8894397620228	99.33445912387008
201	10000	99.09524756412806	99.55201592832255
15	10000	98.96579156722355	99.73067331670823
349	10000	98.7300327413434	99.52229299363057
491	10000	99.0661633220743	99.55201592832255
476	10000	99.05566600397614	99.54210631096954
518	10000	98.87874578289343	99.43323058566173
334	10000	98.81862404447533	99.61151509114454
81	10000	99.0066554087613	99.5123892924669
199	10000	99.08503232222775	99.61151509114454
110	10000	99.09371576536202	99.89012086704625
271	10000	98.87752061190027	99.50248756218906
23	10000	98.90721239817206	99.55201592832255
27	10000	99.02574808629089	99.63136395337253
351	10000	98.76702794073779	99.87016878058525
342	10000	98.96579156722355	99.77052778609199
133	10000	99.06458354065082	99.72072611210852
524	10000	99.05463230172157	99.7207818109294
112	10000	99.11565977742448	99.45300845350572
6	10000	98.90797180581754	99.4233446013124
94	10000	99.1943505072608	99.53219866626854
209	10000	99.0460101361423	99.58175662218682
142	10000	99.0571655418817	99.36406995230524
266	10000	99.16476086308045	99.53219866626854
54	10000	98.90634320938557	99.66115208291808
414	10000	98.98668786012318	99.47279419078882
350	10000	98.868374032162	99.55201592832255
496	10000	98.78992263439794	99.4233446013124
442	10000	99.06597774244833	99.50248756218906
533	10000	98.9551199124291	99.9000999000999
427	10000	98.93754344156488	99.48253557567917
191	10000	98.92803970223325	99.41346058256288
185	10000	99.16517590936195	99.47279419078882
407	10000	98.86893541025896	99.35419771485346
394	10000	99.10483389695644	99.60159362549801
35	10000	98.80632646971054	99.78041720730612
257	10000	99.00685271625782	99.47279419078882
534	10000	98.83744038155803	99.74067424695791
423	10000	98.82657120127287	99.83028850953379
530	10000	99.0553843094362	99.60159362549801
497	10000	99.02429311031462	99.86019572598363
66	10000	99.23405948473092	99.56192751891676
303	10000	98.75918205280921	99.53219866626854
519	10000	98.8857938718663	99.77052778609199
254	10000	98.83801767802166	99.52229299363057
217	10000	98.94506369426752	100.0
71	10000	98.9464267965411	99.71083856815235
28	10000	99.01619795289675	99.51224367907625
371	10000	98.93838674471674	99.30479690138047
139	10000	99.01561101720195	99.65122072745392
140	10000	99.1446190570917	99.60159362549801
244	10000	98.79948407580117	99.4233446013124
246	10000	99.17462211614956	99.59167413604223
68	10000	99.06560636182903	99.60159362549801
549	10000	98.7687419322808	99.61151509114454
456	10000	98.96610000994134	99.65122072745392
467	10000	98.94809963282724	99.41346058256288
535	10000	98.74875868917577	99.58175662218682
150	10000	98.86769964243146	99.54210631096954
508	10000	99.02584493041749	99.59167413604223
514	10000	98.77069495390106	99.31472837421789
361	10000	98.72877147681001	99.74067424695791
183	10000	99.20437593237196	99.54210631096954
481	10000	98.9471593166468	99.57184108334162
192	10000	98.92708126365984	99.47279419078882
50	10000	99.38265458528328	99.6412913511359
494	10000	98.97715988083417	99.56192751891676
499	10000	98.97553212651681	99.6412913511359
369	10000	98.51608405537297	100.5631536604988
172	10000	99.05575986482457	99.53219866626854
237	10000	99.07563860451248	99.48269001193792
250	10000	98.94757744241461	99.45300845350572
507	10000	98.856176646111	99.8003992015968
156	10000	99.00695134061569	99.43323058566173
419	10000	98.97583772496769	99.6710854181202
379	10000	99.06560636182903	99.58175662218682
80	10000	99.11522020081519	99.55201592832255
14	10000	98.68969624776653	99.54210631096954
171	10000	99.29346203602348	99.61151509114454
127	10000	98.97746450908369	99.47279419078882
454	10000	98.81745006459306	99.79044007584073
364	10000	98.92729439809297	99.55201592832255
511	10000	99.1945107398568	99.53219866626854
46	10000	98.9760413559996	99.65122072745392
340	10000	99.11495624502784	99.6412913511359
390	10000	99.01610017889088	99.48269001193792
124	10000	98.95781637717121	99.40357852882704
531	10000	98.9553278280768	99.79044007584073
331	10000	99.18448533068126	99.60159362549801
527	10000	98.86713703666898	99.61151509114454
509	10000	98.97695669447755	99.5123892924669
426	10000	98.97614314115309	99.63136395337253
189	10000	98.85765372007549	99.53219866626854
536	10000	98.9946247262592	99.89012086704625
305	10000	98.90721239817206	99.59167413604223
439	10000	99.02681231380338	99.41328560063644
545	10000	98.88690121248261	99.7307270370001
10	10000	98.95646988670245	99.66115208291808
489	10000	99.02594175529272	99.63136395337253
409	10000	99.06467661691542	99.76055073331338
143	10000	98.63040889241762	99.62143853357243
517	10000	98.97817460317461	99.2950054612253
444	10000	98.93680445151034	99.52229299363057
528	10000	98.80774962742176	99.7307270370001
355	10000	99.03540175019889	99.61151509114454
228	10000	98.78860093337305	99.55201592832255
96	10000	98.86927196984725	99.36406995230524
411	10000	98.99632316406638	99.57184108334162
457	10000	98.83744038155803	99.63136395337253
11	10000	99.04458598726114	99.76057462090982
208	10000	99.07517899761336	99.53210552513688
97	10000	98.74826147426982	99.69095803010667
270	10000	98.93796526054591	99.49258780220873
469	10000	98.81885856079404	99.50248756218906
38	10000	98.99532477867304	99.77052778609199
43	10000	98.90829694323143	99.44311853619729
319	10000	98.84886374913168	99.41346058256288
83	10000	98.99672196284891	99.50248756218906
298	10000	98.82831893555755	99.56192751891676
190	10000	98.81921016074618	99.41346058256288
55	10000	98.90449158450353	100.02000400080016
424	10000	98.87551000099512	99.9900009999
166	10000	98.89672994732133	99.61151509114454
41	10000	98.93659312263964	99.65122072745392
393	10000	99.07536289520779	99.60159362549801
42	10000	98.97532829287704	99.75062344139651
415	10000	99.1838359709366	99.79044007584073
129	10000	99.23337315810434	99.68102073365232
91	10000	98.80786807073316	99.58175662218682
338	10000	98.88910930370959	99.2950054612253
33	10000	99.03559355736726	99.65122072745392
402	10000	99.04582049498062	99.60159362549801
49	10000	99.13406987160346	99.75062344139651
447	10000	98.79016263387544	99.39369843951893
485	10000	99.13372498257493	99.8003992015968
353	10000	98.68029370906926	99.52229299363057
216	10000	99.04411032559992	99.97000899730081
352	10000	98.78799920524538	99.60159362549801
60	10000	99.12437810945273	99.74067424695791
458	10000	98.8003172714654	99.33445912387008
145	10000	99.0262321144674	99.50248756218906
105	10000	99.08512330946698	99.57184108334162
436	10000	99.14453396995921	99.63136395337253
62	10000	99.07471893343946	99.7207818109294
37	10000	98.83778682825071	99.56192751891676
3	10000	98.91811414392059	99.47279419078882
179	10000	98.98678851693653	99.53219866626854
312	10000	98.83570504527813	99.95002498750625
315	10000	98.80916939565347	99.4233446013124
153	10000	98.93733240639587	99.45300845350572
58	10000	98.91714683091595	99.56192751891676
57	10000	99.23314410915248	99.76057462090982
462	10000	98.77842884099712	99.57184108334162
283	10000	99.01570888844701	99.62143853357243
479	10000	99.1640127388535	99.71083856815235
288	10000	98.81827209533267	99.56192751891676
399	10000	99.0453460620525	99.60159362549801
308	10000	98.76176324913324	99.22603691208573
177	10000	98.95781637717121	99.37394415184339
287	10000	98.83824843610367	99.45300845350572
435	10000	99.02613534731194	99.59167413604223
263	10000	98.96702423520064	99.56192751891676
161	10000	98.77951974598135	99.4233446013124
385	10000	98.9066693171653	99.61151509114454
412	10000	98.94789081885857	99.34432743890324
234	10000	99.02497263953835	99.75062344139651
135	10000	99.0938060147381	99.95002498750625
40	10000	99.15431300368122	99.66115208291808
120	10000	98.87573375783504	99.93004197481511
182	10000	99.00527205809212	99.82032341784787
487	10000	99.10483389695644	99.63136395337253
98	10000	98.93553521687227	99.85022466300549
470	10000	99.01561101720195	99.69095803010667
468	10000	98.56407209348386	99.2358836955443
482	10000	99.1838359709366	99.70089730807577
543	10000	98.83801767802166	99.60159362549801
108	10000	99.16534181240064	99.43311785181501
341	10000	99.05566600397614	99.63136395337253
498	10000	99.06327852516193	100.04001600640257
289	10000	98.94757744241461	99.5123892924669
421	10000	99.03559355736726	99.63136395337253
137	10000	98.9471593166468	99.45300845350572
77	10000	98.88844779674474	99.37394415184339
176	10000	98.9459029435163	99.78048293753741
392	10000	99.19338777136029	99.81036031540074
24	10000	99.0455358918274	99.6710854181202
284	10000	99.08521427861191	99.61151509114454
21	10000	99.00685271625782	99.4233446013124
233	10000	98.71018950292688	99.49258780220873
260	10000	98.95595107885055	99.62143853357243
544	10000	98.7199841238341	99.55201592832255
256	10000	98.84668920262477	99.6412913511359
122	10000	98.79004264603789	99.37394415184339
440	10000	99.16434540389972	99.63136395337253
513	10000	98.96589440190913	99.68102073365232
102	10000	99.10554561717352	99.52229299363057
168	10000	99.06486271388778	99.78048293753741
261	10000	98.76727308877622	99.87016878058525
251	10000	98.81034995538812	99.2950054612253
316	10000	98.91854350630022	99.31472837421789
65	10000	99.16534181240064	99.43323058566173
267	10000	99.13432835820896	99.75062344139651
389	10000	99.17470418613901	99.53219866626854
301	10000	98.90699523052464	99.58175662218682
413	10000	99.02574808629089	99.60159362549801
510	10000	98.92740093355845	99.53219866626854
188	10000	98.9471593166468	99.45295404814004
36	10000	99.15330212172528	99.85022466300549
194	10000	99.025069637883	99.7307270370001
195	10000	99.12437810945273	99.59167413604223
53	10000	98.96640826873384	99.66115208291808
314	10000	98.77891392832323	99.49258780220873
78	10000	98.90742947953913	99.50248756218906
123	10000	98.78848063555114	99.58175662218682
370	10000	98.96362730443448	100.23053021950486
363	10000	99.05491444488659	99.83028850953379
99	10000	99.13467276705789	99.56192751891676
63	10000	98.88811674774149	99.50248756218906
388	10000	98.89771598808342	99.45300845350572
396	10000	98.96507115135834	99.81036031540074
213	10000	98.92697466467958	99.58175662218682
31	10000	99.09425699213696	99.76057462090982
212	10000	98.92761394101876	99.4233446013124
262	10000	98.8286678578519	99.44311853619729
238	10000	98.95646988670245	99.58175662218682
84	10000	98.70116993852865	99.36406995230524
118	10000	98.74020434480707	99.40351923650462
344	10000	99.12490055688146	99.60147454418652
61	10000	98.98668786012318	99.49258780220873
547	10000	99.0860321875621	99.47279419078882
117	10000	98.98709036742801	99.47279419078882
492	10000	98.94736842105263	99.47279419078882
347	10000	98.8480635551142	99.59167413604223
17	10000	99.03453767293719	99.79044007584073
248	10000	99.14504423898995	99.5123892924669
134	10000	99.24378109452736	99.65122072745392
329	10000	98.86792452830188	99.48269001193792
406	10000	99.06644155328235	99.39369843951893
325	10000	98.82645450024863	99.85022466300549
280	10000	98.93701569640373	99.57184108334162
357	10000	98.93617021276596	99.6710854181202
540	10000	98.80822325950939	99.61151509114454
30	10000	98.92644135188867	99.55201592832255
322	10000	99.11451596856034	99.6412913511359
521	10000	98.99582421952674	99.62143853357243
297	10000	98.91757696127111	99.5123892924669
243	10000	98.85000495687518	99.27529038022436
200	10000	99.13415605095541	99.79039824333766
151	10000	98.75979759896815	99.50248756218906
95	10000	99.0663488279698	99.42328726260317
204	10000	98.86927196984725	99.40357852882704
100	10000	99.01580674023263	99.53219866626854
293	10000	98.99731956715974	99.40357852882704
247	10000	98.7217598097503	99.25558312655087
132	10000	99.0760977548182	99.45300845350572
113	10000	98.80798649051356	99.56192751891676
269	10000	98.57482185273159	99.10802775024777
378	10000	98.86927196984725	99.32459276916964
173	10000	99.07370517928287	99.85022466300549
5	10000	99.15439713489853	99.68102073365232
48	10000	99.0849413168888	99.68102073365232
144	10000	98.95657358640564	99.62143853357243
532	10000	98.82785086930996	99.69095803010667
348	10000	98.7780647725015	99.7207818109294
327	10000	98.94506369426752	99.92006394884093
398	10000	99.36242279338514	99.69095803010667
242	10000	98.731039952414	99.31472837421789
39	10000	98.78980259894851	99.38382031405287
434	10000	99.15473349244232	99.54210631096954
403	10000	98.93680445151034	99.60159362549801
273	10000	98.94736842105263	99.54210631096954
229	10000	98.94695012914762	99.57184108334162
220	10000	99.17355371900827	99.83028850953379
93	10000	98.95760945100764	99.44311853619729
235	10000	98.95760945100764	99.40357852882704
318	10000	99.00695134061569	99.45300845350572
73	10000	98.79470066739715	100.20040080160321
420	10000	98.8089330024814	99.35419771485346
345	10000	98.93574696638154	99.78048293753741
184	10000	99.0657920890479	99.54210631096954
44	10000	99.21408674890569	99.6412913511359
382	10000	98.89716840536512	99.56192751891676
332	10000	99.06625608423562	99.43323058566173
111	10000	99.11478018699026	99.61151509114454
302	10000	99.00616179685947	99.53219866626854
121	10000	99.08503232222775	99.66115208291808
335	10000	98.76151788368176	99.22603691208573
339	10000	99.20390088566026	99.65122072745392
245	10000	99.20405929758233	99.68095712861415
526	10000	98.92708126365984	99.53219866626854
311	10000	98.90579926390133	99.83028850953379
155	10000	98.82901657239258	99.40357852882704
286	10000	99.04629445658652	99.46290033817387
365	10000	98.90634320938557	99.6710854181202
277	10000	99.15380786460926	99.73064644852354
304	10000	98.79888822711932	99.53219866626854
472	10000	99.15490157088884	99.53219866626854
278	10000	98.76800794833582	99.71083856815235
214	10000	99.10563450263341	99.43306146807241
227	10000	98.9371212873746	99.44311853619729
275	10000	98.57867011231488	99.98000399920016
323	10000	98.8983723699881	99.45300845350572
309	10000	98.75979759896815	99.40357852882704
401	10000	98.88767504220876	99.54210631096954
211	10000	98.93785983720468	99.45300845350572
138	10000	98.99572437108482	99.68102073365232
296	10000	99.00645802285146	99.44311853619729
4	10000	99.13484486873509	99.58175662218682
359	10000	99.31336451388198	99.60159362549801
493	10000	99.14444886589733	99.68102073365232
255	10000	98.99642289348172	99.49258780220873
