Name	Length	Identity	Relative length
207	10000	99.70014992503748	100.080064051241
319	10000	99.7102028579994	100.07004903432403
93	10000	99.44078290393449	100.1201441730076
373	10000	99.60035967629133	100.09008107296567
282	10000	99.6803835397523	100.02000400080016
328	10000	99.68031968031968	100.02000400080016
64	10000	99.69021684820626	100.0
110	10000	99.69021684820626	100.06003602161297
520	10000	99.67046135410425	99.95002498750625
368	10000	99.66027178257394	100.080064051241
475	10000	99.65041949660407	100.04001600640257
505	10000	99.63051727581386	99.9900009999
380	10000	99.74018187268912	100.02000400080016
266	10000	99.58041958041959	100.03000900270081
70	10000	99.63044346783859	100.03000900270081
284	10000	99.69021684820626	100.07004903432403
289	10000	99.61027280903367	100.16025641025641
385	10000	99.79008396641343	100.09008107296567
394	10000	99.68015992003998	100.1401962747847
453	10000	99.71011595361855	100.13016921998599
479	10000	99.8700389883035	100.03000900270081
99	10000	99.62037962037962	100.11012113324657
20	10000	99.6103896103896	100.09008107296567
183	10000	99.66044142614601	99.97000899730081
199	10000	99.70014992503748	100.080064051241
256	10000	99.66030572484763	100.06003602161297
136	10000	99.6103896103896	100.06003602161297
279	10000	99.6404673923899	100.02000400080016
521	10000	99.69030969030969	100.04001600640257
298	10000	99.70023980815348	100.04001600640257
27	10000	99.69018588846691	100.09008107296567
59	10000	99.73010795681728	100.06003602161297
45	10000	99.88002399520096	100.06003602161297
134	10000	99.59045050444512	100.1201441730076
7	10000	99.70017989206477	100.080064051241
160	10000	99.84004798560431	100.03000900270081
43	10000	99.65045440926795	99.9900009999
515	10000	99.64053919121318	99.98000399920016
90	10000	99.72030766157226	100.03000900270081
302	10000	99.63066480335397	99.92006394884093
491	10000	99.72025177340393	100.03000900270081
249	10000	99.73008097570728	100.06003602161297
362	10000	99.70044932601098	99.96001599360255
226	10000	99.55017992802878	100.18032458425165
92	10000	99.75019984012789	100.02000400080016
511	10000	99.66044142614601	99.9900009999
259	10000	99.68028774103307	100.04001600640257
3	10000	99.66050923614578	99.94003597841295
228	10000	99.62056914628057	100.0100010001
13	10000	99.71026076531122	100.02000400080016
32	10000	99.78017585931255	100.0
103	10000	99.62022786328203	100.1401962747847
196	10000	99.65027977617906	100.06003602161297
500	10000	99.76019184652279	100.02000400080016
437	10000	99.58029379434396	100.13016921998599
448	10000	99.64017991004498	100.150225338007
212	10000	99.57060115837827	100.05002501250625
215	10000	99.75022479768208	100.0
254	10000	99.7002997002997	100.07004903432403
287	10000	99.58046149235841	100.07004903432403
342	10000	99.65031471675492	100.06003602161297
121	10000	99.72036352741436	99.96001599360255
286	10000	99.75017487758569	100.03000900270081
423	10000	99.6404673923899	99.9900009999
154	10000	99.57038665201318	100.1201441730076
399	10000	99.67042844302406	99.97000899730081
283	10000	99.79010494752623	100.03000900270081
