Name	Length	Identity	Relative length
1	10000	99.56083441461223	99.91008092716555
10	10000	99.70041941282204	99.92006394884093
100	10000	99.63066480335397	99.92006394884093
101	10000	99.70053902974645	99.87016878058525
102	10000	99.6506637388961	99.86019572598363
103	10000	99.63066480335397	99.88014382740711
104	10000	99.68044737367686	99.930048965724
105	10000	99.62045545345585	100.0100010001
106	10000	99.71046325878594	99.87016878058525
107	10000	99.75034951068504	99.89012086704625
108	10000	99.67062581095918	99.88014382740711
109	10000	99.75024975024975	99.97000899730081
11	10000	99.83011891675827	99.9900009999
110	10000	99.59081836327346	99.86019572598363
111	10000	99.63088587390263	99.82032341784787
112	10000	99.68051118210863	99.87016878058525
113	10000	99.61077844311377	99.89012086704625
114	10000	99.70053902974645	99.85022466300549
115	10000	99.66050923614578	99.95002498750625
116	10000	99.73037747153984	99.88014382740711
117	10000	99.65083798882682	99.82032341784787
118	10000	99.70053902974645	99.88014382740711
119	10000	99.65048931495906	99.95002498750625
12	10000	99.69040247678019	99.91008092716555
120	10000	99.57081545064378	99.89012086704625
121	10000	99.79018883005295	99.94003597841295
122	10000	99.79016786570743	99.97000899730081
123	10000	99.72033559728327	99.94003597841295
124	10000	99.68041545990212	99.96001599360255
125	10000	99.5909000199561	99.84025559105432
126	10000	99.70044932601098	99.9000999000999
127	10000	99.76026370991909	99.94003597841295
128	10000	99.72025177340393	99.98000399920016
129	10000	99.73043130990415	99.9000999000999
13	10000	99.63066480335397	99.88014382740711
130	10000	99.76028765481422	99.930048965724
131	10000	99.64039556487863	99.97000899730081
132	10000	99.71052106208825	99.87016878058525
133	10000	99.74023378958937	99.97000899730081
134	10000	99.7005091344714	99.87016878058525
135	10000	99.59085919568905	99.89012086704625
136	10000	99.72053099111687	99.84025559105432
137	10000	99.68035161322545	100.0
138	10000	99.72025177340393	99.9900009999
139	10000	99.571200638213	99.76052684094991
14	10000	99.57094392336859	99.85022466300549
140	10000	99.73018886779255	99.97000899730081
141	10000	99.73026973026973	99.96001599360255
142	10000	99.69030969030969	99.98000399920016
143	10000	99.65059399021663	99.86019572598363
144	10000	99.65052421367947	99.91008092716555
145	10000	99.63066480335397	99.9000999000999
146	10000	99.66044142614601	99.92006394884093
147	10000	99.73029667365897	99.95002498750625
148	10000	99.64064683569575	99.88014382740711
149	10000	99.70044932601098	99.930048965724
15	10000	99.69034062531216	99.98000399920016
150	10000	99.56065901148277	100.03000900270081
151	10000	99.67056004791854	99.87016878058525
152	10000	99.62068277101218	99.9000999000999
153	10000	99.69055699740467	99.86019572598363
154	10000	99.71063659948115	99.81036031540074
155	10000	99.72041937094359	99.9000999000999
156	10000	99.55103262496259	99.83028850953379
157	10000	99.73026973026973	99.94003597841295
158	10000	99.73021582733813	100.0
159	10000	99.6805430767695	99.85022466300549
16	10000	99.78032950574139	99.9000999000999
160	10000	99.56074673055805	99.930048965724
161	10000	99.66067864271457	99.88014382740711
162	10000	99.70044932601098	99.88014382740711
163	10000	99.75032457804853	99.92006394884093
164	10000	99.78017585931255	99.97000899730081
165	10000	99.64061096136568	99.930048965724
166	10000	99.58062905641538	99.96001599360255
167	10000	99.58088015168147	99.86019572598363
168	10000	99.63055416874688	99.96001599360255
169	10000	99.7103765105363	99.91008092716555
17	10000	99.64061096136568	99.92006394884093
170	10000	99.73035054429242	99.930048965724
171	10000	99.6404673923899	100.0
172	10000	99.68041545990212	99.94003597841295
173	10000	99.55089820359281	99.89012086704625
174	10000	99.65041949660407	99.9900009999
175	10000	99.79027264556078	99.89012086704625
176	10000	99.67049425861208	99.94003597841295
177	10000	99.7802636835797	99.92006394884093
178	10000	99.73051202714842	99.83028850953379
179	10000	99.63070166683302	99.85022466300549
18	10000	99.63066480335397	99.9000999000999
180	10000	99.64093357271095	99.77052778609199
181	10000	99.64086193136473	99.81036031540074
182	10000	99.75022479768208	99.98000399920016
183	10000	99.79018883005295	99.98000399920016
184	10000	99.74023378958937	99.98000399920016
185	10000	99.78017585931255	100.0
186	10000	99.77027566919696	99.930048965724
187	10000	99.75024975024975	99.97000899730081
188	10000	99.82017982017982	99.94003597841295
189	10000	99.62098543786156	99.79044007584073
19	10000	99.66071250374215	99.85022466300549
190	10000	99.73045822102426	99.88014382740711
191	10000	99.81013290696512	100.0
192	10000	99.68051118210863	99.94003597841295
193	10000	99.67039552536956	99.98000399920016
194	10000	99.61089494163424	99.85022466300549
195	10000	99.77039033642808	99.84025559105432
196	10000	99.66064477492763	99.85022466300549
197	10000	99.70023980815348	100.03000900270081
198	10000	99.68041545990212	99.96001599360255
199	10000	99.72036352741436	99.92006394884093
2	10000	99.570729759409	99.92006394884093
20	10000	99.74038941587618	99.91008092716555
200	10000	99.56057125736542	100.04001600640257
201	10000	99.72044728434504	99.88014382740711
202	10000	99.68051118210863	99.91008092716555
203	10000	99.51092923445454	99.930048965724
204	10000	99.85013487860925	99.930048965724
205	10000	99.59073667398683	99.94003597841295
206	10000	99.78019782196023	99.98000399920016
207	10000	99.79016786570743	99.96001599360255
208	10000	99.69027874912578	100.0100010001
209	10000	99.65052421367947	99.95002498750625
21	10000	99.5610096777412	99.83028850953379
210	10000	99.78028562868272	99.91008092716555
211	10000	99.78032950574139	99.87016878058525
212	10000	99.69027874912578	99.9900009999
213	10000	99.7902307461792	99.92006394884093
214	10000	99.68051118210863	99.9000999000999
215	10000	99.60075855873839	99.9000999000999
216	10000	99.6103896103896	100.06003602161297
217	10000	99.7103765105363	99.930048965724
218	10000	99.5909000199561	99.83028850953379
219	10000	99.73029667365897	99.930048965724
22	10000	99.70047923322684	99.91008092716555
220	10000	99.60091788885563	99.8003992015968
221	10000	99.63051727581386	99.95002498750625
222	10000	99.53084447993612	99.95002498750625
223	10000	99.58071278825996	99.89012086704625
224	10000	99.66057701906759	99.9000999000999
225	10000	99.72055888223552	99.85022466300549
226	10000	99.7002997002997	100.0
227	10000	99.51117318435755	99.87016878058525
228	10000	99.63066480335397	99.89012086704625
229	10000	99.63051727581386	99.97000899730081
23	10000	99.63051727581386	99.95002498750625
230	10000	99.69046430354469	99.930048965724
231	10000	99.67062581095918	99.86019572598363
232	10000	99.66050923614578	99.92006394884093
233	10000	99.6805430767695	99.89012086704625
234	10000	99.69037155413504	99.95002498750625
235	10000	99.62075848303394	99.88014382740711
236	10000	99.69034062531216	99.95002498750625
237	10000	99.58083832335329	99.89012086704625
238	10000	99.67052715654953	99.89012086704625
239	10000	99.87006496751624	99.97000899730081
24	10000	99.66044142614601	100.0
240	10000	99.62064490366377	99.92006394884093
241	10000	99.75022479768208	99.96001599360255
242	10000	99.69058788302226	99.86019572598363
243	10000	99.52110146662676	99.81036031540074
244	10000	99.63062793251473	99.930048965724
245	10000	99.57077260930325	99.92006394884093
246	10000	99.5312188310393	99.82032341784787
247	10000	99.68044737367686	99.94003597841295
248	10000	99.65064355950655	99.9000999000999
249	10000	99.58088015168147	99.89012086704625
25	10000	99.62056914628057	99.91008092716555
250	10000	99.64079026142487	99.84025559105432
